2015/06/05	代码	名称	最新	市盈率	涨幅	总额	换手率	销售毛利率	每股净资产	净利润同比	主营收入同比	连涨日子	连涨涨幅	连涨上市	涨停降幅	涨停位置	小幅个数	备忘	报告期	主营收入同比	A股	行业	市盈率	净利润同比	主营收入同比	400组振幅	外盘	30组涨幅	30日子	量比	均价	委比	委差	成交笔数	成交方向	总市值	流通市值
1	'600000'	浦发银行	18.43	7.68①	-1.07%	674285	2.43%	44.515	13.701	4.520	19.520	1609.000	249.230	2071.000	1.749	-50.509	29.550		20150331一季报	19.520	1492278	金融保险	7.68①	4.520	19.520	124.89%	1756208	1.15%	2.000	1.21	18.61	-4.89%	-1171		-	34378348	27502680
2	'600004'	白云机场	19.40	18.03①	1.31%	39380	1.77%	39.688	7.648	24.200	7.870					-9.492	36.968		20150331一季报	7.870	115000	交通仓储	18.03①	24.200	7.870	218.77%	103398	29.51%	62.000	0.77	19.39	7.21%	143		-	2231000	2231000
3	'600005'	武钢股份	6.91	38.39①	2.98%	365115	5.26%	9.824	3.628	75.400	-30.710	3732.000	886.420	4.000	10.135	-59.932	27.048		20150331一季报	-30.710	1009378	金属材料	38.39①	75.400	-30.710	221.01%	2757706	13.46%	1.000	1.42	6.88	-18.64%	-20622		-	6974803	6974803
4	'600006'	东风汽车	10.91	39.88①	2.35%	107654	4.97%	15.099	3.112	280.330	-19.270	16.000	4.803	3759.000	1.024	-7.706	32.132		20150331一季报	-19.270	200000	机械仪表	39.88①	280.330	-19.270	300.66%	495750	35.53%	19.000	1.12	10.82	-52.79%	-9245		-	2182000	2182000
5	'600007'	中国国贸	19.76	32.93①	10.02%	57673	3.04%	52.089		13.360		2198.000	323.126	1678.000	4.231	-19.248	30.328		20150331一季报		100728	社会服务	32.93①	13.360		99.64%	164252	7.80%	1.000	2.14	18.85	100.00%	38342		-	1990390	1990390
6	'600008'	首创股份	17.38	225.13①	4.38%	290419	7.73%	37.595	3.280	22.550	3.020	3220.000	409.735	358.000	4.895	-25.324	29.877		20150331一季报	3.020	220000	供水供电	225.13①	22.550	3.020	165.52%	933765	10.00%	4.000	2.15	17.08	-62.04%	-6305		+	4189114	3823600
7	'600009'	上海机场	32.20	24.39①	1.87%	78366	2.23%	45.436	9.907	23.130	11.880	3829.000	422.393	316.000	5.449	-17.953	38.311		20150331一季报	11.880	109348	交通仓储	24.39①	23.130	11.880	158.26%	119143	19.17%	1.000	1.09	32.19	24.41%	1245		+	6204807	3520994
8	'600010'	包钢股份	6.76	5633.33①	4.32%	577657	5.48%	9.113	1.488	194.870	5.550	346.000	160.627	2997.000	2.610	-7.005	31.289		20150331一季报	5.550	1574202	金属材料	5633.33①	194.870	5.550	281.34%	4455011	-7.14%	0.000	1.50	6.69	0.20%	669		+	22011060	10641608
9	'600011'	华能国际	12.17	8.69①	2.53%	223973	1.76%	30.960	4.879	21.020	-6.420					-31.134	26.868		20150331一季报	-6.420	1050000	供水供电	8.69①	21.020	-6.420	165.10%	938853	13.63%	1.000	1.36	12.12	-58.96%	-11633		-	17549608	12778500
10	'600012'	皖通高速	17.65	32.78①	0.97%	48009	2.36%	62.392	4.718	-14.140	2.990	2952.000	839.246	4.000	9.137	-2.720	24.949		20150331一季报	2.990	116560	交通仓储	32.78①	-14.140	2.990	377.26%	136041	100.34%	72.000	0.93	17.46	14.01%	766		-	2927447	2057284
